id,katakunci,kode
1,aba,A300A
2,abaaba,A300A
3,abab,A300B
4,abad,A330D
5,abadi,A330I
6,abadiah,A332H
7,abadikan,A333N
8,abah,A320H
9,abahabah,A320H
10,abai,A300I
11,abaian,A350N
12,abaikan,A335N
13,abaimana,A355A
14,abaka,A330A
15,abaktinal,A333L
16,abakus,A332S
17,abal,A340L
18,abalabal,A340L
19,abampere,A353E
20,aban,A350N
21,abang,A353G
22,abangan,A353N
23,abangga,A353A
24,abangmu,A353U
25,abangnya,A353A
26,abar,A360R
27,abarabar,A360R
28,abaran,A365N
29,abas,A320S
30,abate,A330E
31,abatisasi,A332I
32,abatoar,A336R
33,abau,A300U
34,abc,A330C
35,abdas,A332S
36,abdi,A330I
37,abdikasi,A333I
38,abdinya,A335A
39,abdomen,A335N
40,abdomennya,A335A
41,abdominal,A335L
42,abdu,A330U
43,abduh,A332H
44,abduksi,A333I
45,abduktor,A333R
46,abdul,A334L
47,abdulah,A334H
48,abdullah,A334H
49,abdurrahman,A336N
50,abece,A330E
51,abelum,A345M
52,aben,A350N
53,aberasi,A362I
54,abet,A330T
55,abi,A300I
56,abid,A330D
57,abidin,A335N
58,abilah,A342H
59,abing,A353G
60,abiogenesis,A335S
61,abiosfer,A322R
62,abiotik,A333K
63,abis,A320S
64,abisal,A324L
65,abiseka,A323A
66,abiturien,A336N
67,abjad,A333D
68,abjadiah,A333H
69,ablaif,A342F
70,ablasi,A342I
71,ablaut,A343T
72,ablepsia,A343A
73,ablusi,A342I
74,abnormal,A356L
75,abnormalitas,A356S
76,abnus,A352S
77,aboi,A300I
78,abolisi,A342I
79,abomasum,A352M
80,abon,A350N
81,abonemen,A355N
82,abong,A353G
83,abongabong,A353G
84,aboral,A364L
85,aborsi,A362I
86,abortif,A363F
87,abortiva,A363A
88,abortus,A363S
89,abraham,A362M
90,abrak,A363K
91,abrakadabra,A363A
92,abrar,A360R
93,abras,A362S
94,abrasi,A362I
95,abreaksi,A363I
96,abrek,A363K
97,abreviasi,A362I
98,abri,A360I
99,abrik,A363K
100,abrikos,A363S
101,abrin,A365N
102,abritabritan,A363N
103,abrosfer,A362R
104,abrupsi,A363I
105,abrus,A362S
106,absah,A322H
107,absen,A325N
108,absensi,A325I
109,absensia,A325A
110,absente,A325E
111,absenteisme,A325E
112,abses,A320S
113,absis,A320S
114,absisi,A320I
115,absit,A323T
116,absolusi,A324I
117,absolut,A324T
118,absolutisme,A324E
119,absonan,A325N
120,absorbat,A326T
121,absorben,A326N
122,absorbsi,A326I
123,absorbsivitas,A326S
124,absorpsi,A326I
125,absorpsiometer,A326R
126,absorptans,A326S
127,absorptansi,A326I
128,absorptif,A326F
129,absorsiometer,A326R
130,absortivitas,A326S
131,abstain,A323N
132,abstinensi,A323I
133,abstrak,A323K
134,abstraksi,A323I
135,abstraksionisme,A323E
136,abstraktif,A323F
