id,kata alay,kode
1,a,A000A
2,aa,A000A
3,aaa,A000A
4,aaaa,A000A
5,aaaaaaa,A000A
6,aaaaaaaaa,A000A
7,aaaaaaaaaaaaaa,A000A
8,aaaaaaaaaaaaaaaaa,A000A
9,aaaaaaaaaaaaahhhhhhh,A200H
10,aaaaaaamiiiiiin,A550N
11,aaaaamiiiinnnn,A550N
12,aaaand,A530D
13,aaamiiiin,A550N
14,aaamiin,A550N
15,aaamiinaaamiin,A550N
16,aaamin,A550N
17,aaaminnnn,A550N
18,aaasiapaaasiap,A230P
19,aabid,A330D
20,aabmwbp,A351P
21,aabmwbpabis,A351S
22,aadec,A330C
23,aado,A300O
24,aafbfjqfx,A233X
25,aafbfjqfxini,A233I
26,aage,A300E
27,aagr,A360R
28,aagym,A315M
29,aah,A200H
30,aahhh,A200H
31,aairborne,A635E
32,aaji,A300I
33,aal,A400L
34,aala,A400A
35,aalah,A420H
36,aalamiin,A455N
37,aalamin,A455N
38,aalembur,A453R
39,aam,A500M
40,aamamiruddin,A563N
41,aamiiiin,A550N
42,aamiiin,A550N
43,aamiiinnn,A550N
44,aamiin,A550N
45,aamiinaamiin,A550N
46,aamiinbaru,A553U
47,aamiindapet,A553T
48,aamiindi,A553I
49,aamiinin,A550N
50,aamiinkalau,A553U
51,aamiinlibur,A554R
52,aamiinmasih,A552H
53,aamiinn,A550N
54,aamiinnn,A550N
55,aamiinrame,A556E
56,aamiinse,A552E
57,aamiinsemoga,A552A
58,aamiintetap,A553P
59,aamiintuhan,A553N
60,aamiinuntuk,A553K
61,aamiinya,A551A
62,aamiinyang,A551G
63,aamiinyarobbalalamin,A551N
64,aamiinyu,A551U
65,aamin,A550N
66,aamindengan,A553N
67,aaminkan,A553N
68,aaminn,A550N
69,aaminnnnnnnn,A550N
70,aammiiin,A550N
71,aammiinn,A550N
72,aanjmhhr,A535R
73,aanjmhhrkepanikan,A535N
74,aasxsdlls,A223S
75,aatek,A330K
76,aavsawsjsj,A221J
77,aavsawsjsjpunten,A221N
78,aawdee,A130E
79,aawhydb,A121B
80,aaww,A100W
81,aayat,A130T
82,aazcugwbxd,A233D
83,aazcugwbxdkasus,A233S
84,ab,A300B
85,abadai,A330I
86,abaikansaja,A335A
87,abaileysvodkaa,A341A
88,abangda,A353A
89,abangg,A353G
90,abangku,A353U
91,abangkumaap,A353P
92,abank,A353K
93,abarwayi,A361I
94,abay,A310Y
95,abayobozi,A312I
96,abayprtm,A313M
97,abazgu,A323U
98,abazgukangen,A323N
99,abbas,A320S
100,abbasali,A324I
101,abbe,A300E
102,abbeyabraham,A316M
103,abbiamo,A350O
