id,kata alay,kode
1,a,A000A
2,aa,A000A
3,aaa,A000A
4,aaaa,A000A
5,aaaaaaa,A000A
6,aaaaaaaaa,A000A
7,aaaaaaaaaaaaaa,A000A
8,aaaaaaaaaaaaaaaaa,A000A
9,aaaaaaaaaaaaahhhhhhh,A000H
10,aaaaaaamiiiiiin,A550N
11,aaaaamiiiinnnn,A550N
12,aaaand,A530D
13,aaamiiiin,A550N
14,aaamiin,A550N
15,aaamiinaaamiin,A550N
16,aaamin,A550N
17,aaaminnnn,A550N
18,aaasiapaaasiap,A210P
19,aabid,A130D
20,aabmwbp,A151P
21,aabmwbpabis,A151S
22,aadec,A320C
23,aado,A300O
24,aafbfjqfx,A112X
25,aafbfjqfxini,A112I
26,aage,A200E
27,aagr,A260R
28,aagym,A250M
29,aah,A000H
30,aahhh,A000H
31,aairborne,A615E
32,aaji,A200I
33,aal,A400L
34,aala,A400A
35,aalah,A400H
36,aalamiin,A455N
37,aalamin,A455N
38,aalembur,A451R
39,aam,A500M
40,aamamiruddin,A563N
41,aamiiiin,A550N
42,aamiiin,A550N
43,aamiiinnn,A550N
44,aamiin,A550N
45,aamiinaamiin,A550N
46,aamiinbaru,A551U
47,aamiindapet,A553T
48,aamiindi,A553I
49,aamiinin,A550N
50,aamiinkalau,A552U
51,aamiinlibur,A554R
52,aamiinmasih,A552H
53,aamiinn,A550N
54,aamiinnn,A550N
55,aamiinrame,A556E
56,aamiinse,A552E
57,aamiinsemoga,A552A
58,aamiintetap,A553P
59,aamiintuhan,A553N
60,aamiinuntuk,A553K
61,aamiinya,A550A
62,aamiinyang,A552G
63,aamiinyarobbalalamin,A556N
64,aamiinyu,A550U
65,aamin,A550N
66,aamindengan,A553N
67,aaminkan,A552N
68,aaminn,A550N
69,aaminnnnnnnn,A550N
70,aammiiin,A550N
71,aammiinn,A550N
72,aanjmhhr,A525R
73,aanjmhhrkepanikan,A525N
74,aasxsdlls,A223S
75,aatek,A320K
76,aavsawsjsj,A122J
77,aavsawsjsjpunten,A122N
78,aawdee,A300E
79,aawhydb,A310B
80,aaww,A000W
81,aayat,A300T
82,aazcugwbxd,A222D
83,aazcugwbxdkasus,A222S
84,ab,A100B
85,abadai,A130I
86,abaikansaja,A125A
87,abaileysvodkaa,A142A
88,abangda,A152A
89,abangg,A152G
90,abangku,A152U
91,abangkumaap,A152P
92,abank,A152K
93,abarwayi,A160I
94,abay,A100Y
95,abayobozi,A120I
96,abayprtm,A116M
97,abazgu,A122U
98,abazgukangen,A122N
99,abbas,A120S
100,abbasali,A124I
101,abbeyabraham,A165M
102,abbiamo,A150O
103,abbott,A130T
