id,kata alay,kode
1,a,A000A
2,aa,A000A
3,aaa,A000A
4,aaaa,A000A
5,aaaaaaa,A000A
6,aaaaaaaaa,A000A
7,aaaaaaaaaaaaaa,A000A
8,aaaaaaaaaaaaaaaaa,A000A
9,aaaaaaaaaaaaahhhhhhh,A200A
10,aaaaaaamiiiiiin,A550A
11,aaaaamiiiinnnn,A550A
12,aaaand,A530A
13,aaamiiiin,A550A
14,aaamiin,A550A
15,aaamiinaaamiin,A550A
16,aaamin,A550A
17,aaaminnnn,A550A
18,aaasiapaaasiap,A230A
19,aabid,A330A
20,aabmwbp,A351A
21,aabmwbpabis,A351A
22,aadec,A330A
23,aado,A300A
24,aafbfjqfx,A233A
25,aafbfjqfxini,A233A
26,aage,A300A
27,aagr,A360A
28,aagym,A315A
29,aah,A200A
30,aahhh,A200A
31,aairborne,A635A
32,aaji,A300A
33,aal,A400A
34,aala,A400A
35,aalah,A420A
36,aalamiin,A455A
37,aalamin,A455A
38,aalembur,A453A
39,aam,A500A
40,aamamiruddin,A563A
41,aamiiiin,A550A
42,aamiiin,A550A
43,aamiiinnn,A550A
44,aamiin,A550A
45,aamiinaamiin,A550A
46,aamiinbaru,A553A
47,aamiindapet,A553A
48,aamiindi,A553A
49,aamiinin,A550A
50,aamiinkalau,A553A
51,aamiinlibur,A554A
52,aamiinmasih,A552A
53,aamiinn,A550A
54,aamiinnn,A550A
55,aamiinrame,A556A
56,aamiinse,A552A
57,aamiinsemoga,A552A
58,aamiintetap,A553A
59,aamiintuhan,A553A
60,aamiinuntuk,A553A
61,aamiinya,A551A
62,aamiinyang,A551A
63,aamiinyarobbalalamin,A551A
64,aamiinyu,A551A
65,aamin,A550A
66,aamindengan,A553A
67,aaminkan,A553A
68,aaminn,A550A
69,aaminnnnnnnn,A550A
70,aammiiin,A550A
71,aammiinn,A550A
72,aanjmhhr,A535A
73,aanjmhhrkepanikan,A535A
74,aasxsdlls,A223A
75,aatek,A330A
76,aavsawsjsj,A221A
77,aavsawsjsjpunten,A221A
78,aawdee,A130A
79,aawhydb,A121A
80,aaww,A100A
81,aayat,A130A
82,aazcugwbxd,A233A
83,aazcugwbxdkasus,A233A
84,ab,A300B
85,abadai,A330B
86,abaikansaja,A335B
87,abaileysvodkaa,A341B
88,abangda,A353B
89,abangg,A353B
90,abangku,A353B
91,abangkumaap,A353B
92,abank,A353B
93,abarwayi,A361B
94,abay,A310B
95,abayobozi,A312B
96,abayprtm,A313B
97,abazgu,A323B
98,abazgukangen,A323B
99,abbas,A320B
100,abbasali,A324B
101,abbe,A300B
102,abbeyabraham,A316B
103,abbiamo,A350B
104,abbott,A330B
