kata alay,kode,kata kamus,sequence matcher,minimum edit distance,perbaikan kata,perbaikan kata 2
aaaaaaaaaaaaahhhhhhh,A200H,ah,0.182,18.0,ah,
aaasiapaaasiap,A230P,afp,0.235,12.0,afp,
aabid,A330D,abad,0.667,2.0,abid,
aabid,A330D,abid,0.889,1.0,abid,
aabid,A330D,akad,0.667,3.0,abid,
aabid,A330D,akaid,0.8,2.0,abid,
aadec,A330C,abc,0.5,3.0,abc,
aado,A300O,aco,0.571,2.0,aco,
aado,A300O,agio,0.5,2.0,aco,
aado,A300O,agogo,0.444,3.0,aco,
aado,A300O,akeo,0.5,2.0,aco,
aage,A300E,ade,0.571,2.0,ade,
aagr,A360R,abar,0.75,2.0,abar,
aagr,A360R,abarabar,0.5,5.0,abar,
aagr,A360R,abrar,0.667,3.0,abar,
aagr,A360R,abur,0.5,2.0,abar,
aagr,A360R,acar,0.75,2.0,abar,acar
aagr,A360R,adar,0.75,2.0,abar,adar
aagr,A360R,agar,0.75,2.0,abar,agar
aagr,A360R,agaragar,0.5,4.0,abar,
aagr,A360R,ajar,0.75,2.0,abar,ajar
aagr,A360R,ajarajar,0.5,5.0,abar,
aagr,A360R,ajir,0.5,2.0,abar,
aagr,A360R,ajur,0.5,2.0,abar,
aagr,A360R,akar,0.75,2.0,abar,akar
aagr,A360R,akarakar,0.5,5.0,abar,
aagr,A360R,akor,0.5,2.0,abar,
aah,A200H,ah,0.8,1.0,ah,
aahhh,A200H,ah,0.571,3.0,ah,
aaji,A300I,abai,0.75,2.0,aji,
aaji,A300I,abi,0.571,2.0,aji,
aaji,A300I,aboi,0.5,2.0,aji,
aaji,A300I,aci,0.571,2.0,aji,
aaji,A300I,aciaci,0.6,3.0,aji,
aaji,A300I,adi,0.571,2.0,aji,
aaji,A300I,aji,0.857,1.0,aji,
aaji,A300I,ajiaji,0.6,2.0,aji,
aaji,A300I,aki,0.571,2.0,aji,
aaji,A300I,akiaki,0.6,3.0,aji,
aal,A400L,ail,0.667,1.0,ail,
aasxsdlls,A223S,ahistoris,0.333,7.0,ahistoris,
aatek,A330K,abuk,0.444,3.0,acak,
aatek,A330K,abukabuk,0.462,5.0,acak,
aatek,A330K,acak,0.667,3.0,acak,
aatek,A330K,acakacak,0.462,5.0,acak,
aatek,A330K,acik,0.444,3.0,acak,
aatek,A330K,adik,0.444,3.0,acak,
aatek,A330K,aduk,0.444,3.0,acak,
aatek,A330K,agak,0.667,3.0,acak,agak
aatek,A330K,agakagak,0.462,5.0,acak,
aatek,A330K,aguk,0.444,3.0,acak,
aatek,A330K,ajak,0.667,3.0,acak,ajak
aatek,A330K,ajek,0.667,2.0,acak,
aatek,A330K,ajuk,0.444,3.0,acak,
ab,A300B,abab,0.667,2.0,aib,
ab,A300B,aib,0.8,1.0,aib,
abadai,A330I,abadi,0.909,1.0,abadi,
abadai,A330I,abdi,0.8,2.0,abadi,
abadai,A330I,adaibadai,0.8,3.0,abadi,
abadai,A330I,adati,0.727,3.0,abadi,
abaikansaja,A335A,abdinya,0.333,6.0,ajakannya,
abaikansaja,A335A,abdomennya,0.286,7.0,ajakannya,
abaikansaja,A335A,adatnya,0.333,7.0,ajakannya,
abaikansaja,A335A,adegannya,0.4,7.0,ajakannya,
abaikansaja,A335A,adiguna,0.222,7.0,ajakannya,
abaikansaja,A335A,adikadiknya,0.545,7.0,ajakannya,
abaikansaja,A335A,adikadiknya,0.545,7.0,ajakannya,
abaikansaja,A335A,adiknya,0.444,6.0,ajakannya,
abaikansaja,A335A,aditama,0.333,7.0,ajakannya,
abaikansaja,A335A,agaknya,0.444,6.0,ajakannya,
abaikansaja,A335A,ajaibnya,0.316,6.0,ajakannya,
abaikansaja,A335A,ajakannya,0.6,5.0,ajakannya,
abaikansaja,A335A,ajudannya,0.4,7.0,ajakannya,
abaikansaja,A335A,ajukannya,0.5,6.0,ajakannya,
abaikansaja,A335A,akademika,0.5,8.0,ajakannya,
abaikansaja,A335A,akademiknya,0.455,8.0,ajakannya,
abaikansaja,A335A,akademisnya,0.455,7.0,ajakannya,
abangda,A353A,abangga,0.857,1.0,abangga,
abangda,A353A,abangnya,0.8,2.0,abangga,
abangda,A353A,agenda,0.615,3.0,abangga,
abangda,A353A,agendanya,0.5,6.0,abangga,
abangda,A353A,akomodasinya,0.316,9.0,abangga,
abangg,A353G,abang,0.909,1.0,abang,
abangg,A353G,abing,0.727,2.0,abang,
abangg,A353G,abong,0.727,2.0,abang,
abangg,A353G,abongabong,0.625,5.0,abang,
abangg,A353G,acang,0.727,2.0,abang,
abangg,A353G,acangacang,0.625,5.0,abang,
abangg,A353G,acung,0.545,3.0,abang,
abangg,A353G,adang,0.727,2.0,abang,
abangg,A353G,adangadang,0.625,5.0,abang,
abangg,A353G,ading,0.545,3.0,abang,
abangg,A353G,ajang,0.727,2.0,abang,
abangg,A353G,ajeng,0.545,3.0,abang,
abangg,A353G,ajojing,0.462,5.0,abang,
abangg,A353G,ajung,0.545,3.0,abang,
abangg,A353G,akang,0.727,2.0,abang,
abangg,A353G,aking,0.545,3.0,abang,
abangku,A353U,abangmu,0.857,1.0,abangmu,
abangku,A353U,adindaku,0.533,4.0,abangmu,
abangku,A353U,agamaku,0.571,3.0,abangmu,
abank,A353K,adenotropik,0.375,8.0,adenotropik,
abazgukangen,A323N,abstain,0.421,8.0,agihkan,
